postcode,lat,lon
2810,-33.990,147.930
2820,-32.600,148.960
2821,-32.060,148.260
2823,-31.840,148.180
2824,-31.670,147.860
2825,-31.940,146.480
2827,-31.660,148.880
2828,-31.110,148.860
2829,-31.120,148.370
2830,-32.200,148.900
2831,-31.450,148.410
2832,-29.110,147.900
2833,-29.550,148.580
2834,-29.430,147.980
2835,-32.030,144.440
2836,-30.810,142.880
2839,-30.200,146.540
2840,-29.190,145.880
2842,-31.820,149.120
2843,-31.770,149.610
2844,-32.120,149.470
2845,-33.410,150.060
2846,-33.150,149.990
2847,-33.350,149.980
2848,-32.970,149.960
2849,-32.980,150.100
2850,-32.860,149.800
2852,-32.190,149.530
2864,-33.230,148.840
2865,-33.100,148.540
2866,-33.180,148.930
2867,-32.870,148.500
2868,-32.750,148.750
2869,-32.730,148.190
2870,-32.930,148.260
2871,-33.500,148.310
2873,-32.420,147.510
2874,-32.630,147.560
2875,-32.780,147.860
2876,-33.110,147.800
2877,-33.090,147.150
2878,-32.830,143.860
2879,-32.260,142.410
2880,-31.960,141.470
2890,0.000,0.000
2891,0.000,0.000
2898,-31.550,159.080
2899,-36.080,146.930
2900,-35.420,149.070
2901,0.000,0.000
2902,-35.380,149.050
2903,-35.400,149.100
2904,-35.400,149.120
2905,-35.430,149.080
2906,-35.520,149.080
2911,-35.220,149.120
2912,-35.520,149.080
2913,-35.200,149.130
2914,-35.170,149.130
3000,-37.810,144.970
3001,-38.370,144.770
3002,-37.820,144.990
3003,-37.810,144.940
3004,-37.840,144.980
3005,-37.820,144.950
3006,-37.820,144.970
3008,-37.810,144.950
3010,-37.800,144.960
3011,-37.800,144.900
3012,-37.810,144.850
3013,-37.820,144.890
3015,-37.840,144.880
3016,-37.860,144.900
3018,-37.870,144.830
3019,-37.780,144.860
3020,-37.780,144.820
3021,-37.750,144.770
3022,-37.780,144.800
3023,-37.750,144.750
3024,-37.900,144.560
3025,-37.840,144.860
3026,-37.840,144.800
3027,-37.860,144.760
3028,-37.870,144.780
3029,-37.880,144.700
3030,-37.970,144.580
3031,-37.790,144.930
3032,-37.780,144.920
3033,-37.740,144.800
3034,-37.740,144.820
3036,-37.720,144.830
3037,-37.720,144.780
3038,-37.730,144.810
3039,-37.770,144.920
3040,-37.760,144.900
3041,-37.740,144.910
3042,-37.710,144.890
3043,-37.690,144.880
3044,-37.730,144.940
3045,-37.670,144.830
3046,-37.700,144.920
3047,-37.680,144.920
3048,-37.650,144.930
3049,-37.670,144.890
3050,-37.800,144.960
3051,-37.910,145.060
3052,-37.800,144.960
3053,-37.780,144.970
3054,-37.780,144.970
3055,-37.770,144.940
3056,-37.760,144.940
3057,-37.760,144.980
3058,-37.730,144.960
3059,-37.640,144.890
3060,-37.760,144.900
3061,-37.640,144.950
3062,-37.640,144.940
3063,-37.630,144.840
3064,-37.600,144.940
3065,-37.800,144.980
3066,-37.800,144.980
3067,-37.800,145.000
3068,-37.790,144.990
3070,-37.770,145.000
3071,-37.760,145.000
3072,-37.740,145.030
3073,-37.690,145.010
3074,-37.680,145.010
3075,-37.670,145.020
3076,-37.640,145.010
3078,-37.780,145.030
3079,-37.770,145.040
3081,-37.750,145.050
3082,-37.670,145.060
3083,-37.700,145.070
3084,-37.740,145.090
3085,-37.730,145.070
3086,-37.720,145.050
3087,-37.710,145.080
3088,-37.710,145.120
3089,-37.640,145.220
3090,-37.670,145.120
3091,-37.640,145.130
3093,-37.730,145.090
3094,-37.720,145.120
3095,-37.710,145.150
3096,-37.670,145.190
3097,-37.700,145.280
3099,-37.590,145.220
3101,-37.810,145.040
3102,-37.800,145.050
3103,-37.810,145.080
3104,-37.790,145.070
3105,-37.770,145.080
3106,-37.770,145.120
3107,-37.760,145.100
3108,-37.780,145.120
3109,-37.810,145.190
3110,0.000,0.000
3111,-38.180,144.470
3113,-37.730,145.220
3114,-37.780,145.210
3115,-37.740,145.270
3116,-37.750,145.330
3121,-37.830,145.010
3122,-37.840,145.050
3123,-37.830,145.040
3124,-37.820,145.060
3125,-37.840,145.120
3126,-37.840,145.090
3127,-37.820,145.100
3128,-37.820,145.120
3129,-37.800,145.130
3130,-37.820,145.150
3131,-37.840,145.180
3132,-37.820,145.190
3133,-37.840,145.190
3134,-37.810,145.230
3135,-37.820,145.250
3136,-37.800,145.280
3137,-37.800,145.310
3138,-37.770,145.330
3139,-37.800,145.540
3140,-37.760,145.350
3141,-36.990,144.060
3142,-37.840,145.000
3143,-37.860,145.020
3144,-37.840,145.030
3145,-37.880,145.040
3146,-37.850,145.070
3147,-37.860,145.080
3148,-37.890,145.080
3149,-37.880,145.130
3150,-37.880,145.170
3151,-37.860,145.140
3152,-37.870,145.240
3153,-37.840,145.270
3154,-37.850,145.310
3155,-37.860,145.280
3156,-37.880,145.300
3158,-37.900,145.330
3159,-37.920,145.400
3160,-37.910,145.360
3161,-38.030,145.310
3162,-37.880,145.030
3163,-37.890,145.060
3164,-38.020,145.240
3165,-37.930,145.060
3166,-37.900,145.080
3167,-37.930,145.100
3168,-37.930,145.120
3169,-37.940,145.100
3170,-37.870,145.100
3171,-37.950,145.160
3172,-37.970,145.120
3173,-37.990,145.150
3174,-37.970,145.180
3175,-38.030,145.180
3176,0.000,0.000
3177,-38.000,145.240
3178,-37.930,145.240
3179,-37.860,145.260
3180,-37.890,145.250
3181,-37.850,144.990
3182,-37.870,144.980
3183,-37.870,145.000
3184,-37.880,145.000
3185,-37.880,145.000
3186,-37.910,144.990
3187,-37.900,145.000
3188,-37.930,145.030
3189,-37.930,145.040
3190,-37.950,145.030
3191,-37.950,145.010
3192,-37.960,145.060
3193,-37.990,145.030
3194,-37.980,145.060
3195,-38.030,145.100
3196,-38.060,145.120
3197,-38.080,145.120
3198,-38.110,145.160
3199,-38.150,145.120
3200,-38.170,145.190
3201,-38.090,145.190
3202,-37.970,145.210
3204,-37.920,145.040
3205,-37.930,145.030
3206,-37.840,144.960
3207,-37.830,144.960
3211,-37.970,144.530
3212,-38.020,144.410
3214,-38.070,144.360
3215,-38.110,144.330
3216,-38.180,144.340
3217,-38.200,144.300
3218,-38.140,144.350
3219,-38.180,144.380
3220,-38.180,145.110
3221,-37.900,144.250
3222,-38.160,144.560
3223,-38.140,144.710
3224,-38.180,144.460
3225,-38.290,144.610
3226,-38.270,144.540
3227,-38.280,144.490
3228,-38.330,144.260
3230,-38.410,144.190
3231,-38.460,144.110
3232,-38.520,144.000
3233,-38.750,143.670
3235,-38.470,143.930
3236,-38.520,143.710
3237,-38.690,143.560
3238,-38.780,143.430
3239,-38.560,143.400
3240,-38.220,144.080
3241,-38.370,143.950
3242,-38.310,143.790
3243,-38.470,143.760
3249,-38.240,143.480
3250,-38.340,143.580
3251,-38.190,143.640
3254,-38.300,143.520
3260,-38.130,143.100
3264,-38.240,142.910
3265,-38.210,143.010
3266,-38.340,143.140
3267,-38.450,143.110
3268,-38.420,142.860
3269,-38.620,143.000
3270,-38.580,142.860
3271,-38.000,143.050
3272,-38.080,142.810
3273,-38.060,142.610
3274,-37.910,142.520
3275,-38.300,142.460
3276,-38.040,142.440
3277,-38.390,142.590
3278,-38.280,142.620
3279,-38.210,142.660
3280,-38.360,142.440
3281,-38.330,142.510
3282,-38.330,142.410
3283,-38.310,142.330
3284,-38.210,142.150
3285,-38.270,141.970
3286,-37.970,141.830
3287,-38.110,142.320
3289,-37.900,142.170
3292,-38.050,141.010
3293,-37.640,142.550
3294,-37.650,142.340
3300,-37.880,141.960
3301,-37.700,141.930
3302,-37.860,141.790
3303,-38.030,141.810
3304,-38.150,141.970
3305,-38.270,141.650
3309,-37.790,141.500
3310,-37.720,141.550
3311,-37.580,141.410
3312,-37.640,141.370
3314,-37.590,141.940
3315,-37.440,141.760
3317,-37.120,141.600
3318,-36.990,141.510
3319,-36.970,141.080
3321,-38.110,143.860
3322,-38.030,143.640
3323,-37.990,143.490
3324,-37.950,143.340
3325,-37.950,143.220
3328,-38.040,144.050
3329,-38.020,143.860
3330,-37.840,143.680
3331,-38.050,144.170
3332,-37.960,144.140
3333,-37.920,144.030
3334,-37.710,144.090
3335,-37.690,144.690
3337,-37.680,144.590
3338,-37.700,144.540
3340,-37.680,144.440
3341,-37.520,144.310
3342,-37.600,144.230
3345,-37.590,144.100
3350,-37.560,143.820
3351,-37.770,143.680
3352,-37.380,143.670
3353,-37.780,144.840
3354,-37.560,143.870
3355,-37.550,143.820
3356,-37.590,143.830
3357,-37.650,143.920
3360,-37.690,143.560
3361,-37.780,143.410
3363,-37.420,143.890
3364,-37.370,143.940
3370,-37.290,143.790
3371,-37.150,143.670
3373,-37.430,143.380
3374,0.000,0.000
3375,-37.430,143.130
3377,-37.280,142.930
3378,-37.530,142.940
3379,-37.530,142.520
3380,-37.160,142.700
3381,-36.940,143.210
3384,-36.980,143.200
3385,-36.920,142.510
3387,-36.670,142.870
3388,-36.570,142.820
3390,-36.450,142.420
3391,-36.070,142.520
3392,-36.460,142.590
3393,-36.330,142.360
3395,-35.940,142.420
3396,-35.730,142.360
3400,-36.710,142.200
3401,-36.460,142.310
3402,-37.160,142.670
3407,-37.250,141.840
3409,-36.780,141.760
3412,-36.750,141.470
3413,-36.710,141.180
3414,-36.300,142.020
3415,-36.380,141.360
3418,-36.170,141.330
3419,-36.380,141.240
3420,-36.360,141.120
3423,-36.140,141.990
3424,-35.690,141.970
3427,-37.630,144.720
3428,-37.640,144.800
3429,-37.580,144.730
3430,-37.480,144.750
3431,-37.460,144.670
3432,-37.430,144.780
3433,0.000,0.000
3434,-37.390,144.640
3435,-37.190,144.690
3437,-37.520,144.480
3438,-37.460,144.600
3440,-37.400,144.590
3441,-37.400,144.590
3442,-37.390,144.450
3444,-37.090,144.510
3446,-37.200,144.290
3447,-37.130,144.360
3448,-37.110,144.340
3450,-37.060,144.220
3451,-37.030,144.240
3453,-37.000,144.260
3458,-37.450,144.290
3460,-37.310,144.090
3461,-37.390,144.220
3462,-37.110,144.100
3463,-36.980,143.950
3464,-37.010,143.800
3465,-37.070,143.680
3467,-37.090,143.470
3468,-37.180,143.400
3469,-37.180,143.250
3472,-36.920,143.760
3475,-36.830,143.500
3477,0.000,0.000
3478,-36.540,142.920
3480,-36.240,142.690
3482,-36.230,142.860
3483,-35.980,142.750
3485,-35.640,142.770
3487,-35.610,142.580
3488,-35.400,142.440
3489,-35.340,142.480
3490,-35.200,141.600
3491,-35.380,142.190
3494,-34.460,142.230
3496,-34.290,142.150
3498,-34.230,142.180
3500,-34.180,142.160
3501,-34.850,142.330
3502,-37.970,145.260
3505,-34.200,142.060
3506,-35.280,141.400
3507,-35.190,142.020
3509,-35.170,141.690
3512,-35.220,141.090
3515,-36.740,144.130
3516,-36.590,143.920
3517,-36.300,143.920
3518,-36.500,143.460
3520,-36.330,143.840
3521,-37.120,144.880
3522,-37.130,144.750
3523,-36.940,144.730
3525,-36.270,143.430
3527,-36.060,143.390
3529,-35.780,143.260
3530,-35.720,143.110
3531,-35.640,142.990
3533,-35.360,142.790
3537,-36.010,143.670
3540,-35.760,143.450
3542,-35.760,143.280
3544,-35.510,143.200
3546,-34.960,142.880
3549,-34.850,142.830
3550,-36.760,144.280
3551,-36.690,143.870
3552,-37.830,145.010
3554,0.000,0.000
3555,-36.830,144.230
3556,-36.730,144.260
3557,-36.650,144.510
3558,-36.490,144.710
3559,-36.530,144.600
3561,-36.300,144.670
3562,-35.980,144.460
3563,-36.270,144.480
3564,-36.130,144.730
3565,-36.190,144.530
3566,-35.960,144.370
3567,-35.890,144.240
3568,-35.840,144.340
3570,-36.470,144.110
3571,-36.370,144.230
3572,-36.360,144.380
3573,-36.300,144.090
3575,-36.040,143.990
3576,-36.200,143.960
3579,-35.880,143.870
3580,-35.640,144.110
3581,-35.620,143.800
3583,-35.510,143.640
3584,-35.460,143.630
3585,-35.420,143.590
3586,-35.300,143.360
3588,-35.270,143.450
3589,-35.260,143.470
3590,-35.240,143.480
